evaluations,best_so_far
1,153.23617536
2,153.23617536
3,150.29217536
4,150.29217536
5,100.38497536
6,100.38497536
7,100.38497536
8,100.38497536
9,100.38497536
10,100.38497536
11,100.38497536
12,100.38497536
13,100.38497536
14,99.752198008
15,99.752198008
16,99.752198008
17,99.752198008
18,99.752198008
19,99.752198008
20,99.752198008
21,99.752198008
22,99.752198008
23,99.752198008
24,99.752198008
25,87.8052425421
26,85.7430752667
27,85.7430752667
28,85.7430752667
29,85.7430752667
30,85.7430752667
31,85.7430752667
32,85.4105450226
33,85.4105450226
34,84.2496017215
35,84.2496017215
36,45.536228738
37,45.3581552567
38,45.3581552567
39,45.3581552567
40,45.3581552567
41,45.3581552567
42,45.3581552567
43,45.3581552567
44,45.3581552567
45,45.3581552567
46,45.3581552567
47,45.2233172296
48,45.2233172296
49,45.2233172296
50,45.2233172296
51,45.2233172296
52,45.2233172296
53,45.2233172296
54,45.2233172296
55,45.2233172296
56,45.2233172296
57,45.2233172296
58,45.2233172296
59,45.2233172296
60,45.2233172296
61,45.2233172296
62,45.2233172296
63,45.2233172296
64,45.2233172296
65,44.7583541673
66,44.7583541673
67,44.7583541673
68,44.7583541673
69,44.7583541673
70,44.7583541673
71,44.7583541673
72,44.7583541673
73,44.7583541673
74,44.7583541673
75,44.7583541673
76,44.7583541673
77,44.7583541673
78,44.7583541673
79,44.3149433402
80,44.3149433402
81,43.9675506876
82,43.9675506876
83,43.9675506876
84,43.9675506876
85,43.9675506876
86,43.9675506876
87,43.7810151995
88,43.7810151995
89,43.2098603114
90,43.2098603114
91,43.2098603114
92,43.2098603114
93,43.2098603114
94,43.2098603114
95,43.2098603114
96,43.2098603114
97,43.2098603114
98,43.2098603114
99,43.2098603114
100,43.2098603114
